Hindi,English
दी,Gave
मिलता,get
बेहतर,better
कार,car
बकवास,Nonsense
पीछे,Back
द्वारा,By
मुझसे,Me
हाथ,Hand
विश्वास,faith
पूरी,Complete
ना,No
महिला,Woman
लड़की,Girl
आपका,Yours
देखने,to see
तुमसे,To you
लगा,Put
उसका,His
चल,Ambulatory
ओर,Side
मिनट,minutes
समझ,Understanding
बिना,Without
बता,tell me
तीन,Three
सुनो,Listen
पैसे,money
होगी,will happen
दोनों,Both
कहना,Tell
पुलिस,Police
देना,Give
पुरुष,Male
कहीं,somewhere
बना,made
परिवार,Family
खो,lost
दिल,Heart
हां,Yes
लेने,to take
बेटा,Son
सोचा,thought
आगे,Ahead
जहां,Where
पागल,crazy
सुना,heard
जाते,going
चले,Let's go
बोल,Lyrics
गलत,Wrong
ज्यादा,More
महसूस,Feel
चाहती,want
सकती,can
यकीन,faith
इसलिए,so
पी,P
डर,Fear
आता,Comes
आपकी,Yours
लड़का,Boy
उह,uhh
समस्या,Problem
बुरा,bad
सुंदर,Beautiful
छोटे,small
बताया,told
खत्म,End
आने,to come
माफ,sorry
कमबख्त,fucking
यार,Buddy
बीच,between
दूसरे,Others
काफी,Enough
भूल,Mistake
ध्यान,Attention
हुई,Hui
तब,Then
बेटी,Daughter
रहने,stay
खेल,game
बड़ा,Big
माफी,Forgiveness
बच्चों,children
शहर,City 
आह,Ahh
पूरा,Complete
बदल,change
देने,to give
देखते,watching
देर,Late
डाल,Branch
बिल्कुल,Absolutely
कई,Many
वाह,Wow
सोच,Thinking
भुगतान,Payment
जैक,jack
बेटे,son
मुझ,Me
पानी,Water
महोदय,Sir
आग,Fire
देता,gives
आते,coming
कहां,Where
चिंता,Worry
रखना,Keep
उससे,from him
पहली,First
बनाने,make
गोली,Gun Shot
माध्यम,Channel
कितना,How much
सुरक्षित,Safe
देखना,Look
वहां,There
इससे,From this
इसका,Its
मारा,hit
पत्नी,Wife
रहना,stay
पार्टी,Party
अन्य,Other
अच्छे,good
हैलो,Hello!
महान,Great
आए,Returns
क्षमा,Forgiveness
पिछले,last
मारने,to kill
रहते,live
वादा,Promise
राजा,King
इंतजार,Wait
उनकी,their
सुबह,Morning
सिर,Head
नए,New
विचार,Idea
दोस्तों,Friends
योजना,Plan
प्राप्त,get
घंटे,hours
खुश,Happy 
अंत,Ending
करती,does
करेगा,will do
थोड़ा,Little
सम्मान,Respect
आदेश,Order
पूरे,the whole
अलग,apart
उम्मीद,Hope
आर,R
पाने,to get
औरत,women
इतनी,So much
लड़के,boys
गिर,fall
संगीत,music
रास्ता,way
युद्ध,war
रास्ते,ways
हमारा,Our
जारी,Ongoing
मन,Mind
लड़ाई,battle
डाला,inserted
शुक्रिया,Thanks
मुश्किल,difficult
आराम,Rest
चुका,paid off
प्रिय,Dear
झूठ,Lie
बंदूक,gun
खुशी,Happiness
नरक,hell
आशा,Hope
चुप,Silent
उपयोग,Use
सवाल,Question
आपने,You
वैसे,By the way
देश,Country
रखो,Please Keep
असली,Real
बड़ी,Big
जैसा,As
सुन,Listen
हाय,Hi
चोट,Injury
रखा,kept
मौत,Death
पापा,Father
पर्याप्त,Sufficient
पुरुषों,men
शांत,Calm
पुराने,old
हंसते,laughing
सा,Like
दें,give
पकड़,grasp
बहन,Sister
सामने,Front
सुरक्षा,Security
खाने,to eat
खाना,Eat
चाचा,Uncle
बन,become
अमेरिका,America
परेशान,Worried
बच्चा,Child
सी,C
जवाब,answer
सेना,Army
आसान,Easy
पैसा,Money
ऐसे,This way
महीने,month
रखने,to keep
छोटी,Small
अलविदा,goodbye
कदम,step
अगले,next
भाग,Part
नमस्ते,hello
सारे,all
लंबे,long
देते,give
कॉल,Call
छोटा,Small
भाड़,Screw
बनाया,Make
हमने,We
स्थिति,Situation
इस्तेमाल,use
परवाह,care
कैसा,How?
होती,would have been
गलती,Mistake
राम,Ram
नष्ट,destroyed
स्वागत,Welcome
अजीब,Strange
रह,stay
व्यक्ति,Person
मूर्ख,Idiot
तुम्हे,To you
सिकंदर,Alexander
मै,i
मालिक,Owner
गंदगी,dirt
रखें,keep
नौकरी,Job
हांक,hank
जीत,Victory
कंपनी,company
लेंगे,will take
चारों,all four
तस्वीर,picture
रहता,remains
कहानी,Story
खड़े,standing
रोक,Stoppage
बातें,things
अकेले,Lonely
किस,What
साफ,Clean
िलए,for
मौका,Opportunity
भरोसा,Reliance
चिल्ला,screaming
जहाँ,Where
कसम,swear
सारा,Sara
करीब,near
जान,Life
तुलना,Compare
इतने,So much
कब,When?
यात्रा,Travel
हमला,assault
रक्षा,protect
पाया,Found
जल्द,Soon
पति,Husband
गयी,went
जहाज,ship
बेबी,Baby
हवा,Air
आती,comes
दरवाजा,Door
जाएगी,will go
कहता,says
स्कॉट,Scott
मिलेगा,will get
मां,Mother
वाली,the one
वजह,Reason
महत्वपूर्ण,Important
जय,Victory
अकेला,alone
सामान,stuff
सो,s / o
रख,keep
शामिल,Involved
नया,New
मिलने,to meet
निश्चित,Fixed
करनी,to do
स्कूल,School
जेल,Jail
तरफ,Side
बड़े,elder
पल,Moment
अंतिम,Last
ब्रायन,brian
पैदा,born
चार,Four
कितने,How many?
कहने,to say
इंदर,indar
इंतज़ार,wait
जी,Yes
मातृभाषा,Mother tongue
अस्पताल,hospital
जाँच,Check
बर्बाद,Ruined
दर्द,Pain
दिनों,days
शॉन,shaun
पृथ्वी,Earth
महिलाओं,women
पूछ,ask
लगभग,About
नफरत,Hate
बताने,tell
देखें,see
ट्रेवर,Trevor
सप्ताह,Week
बेशक,Of course!
डॉक्टर,Doctor
पांच,Five
स्पष्ट,clear
लगी,felt
इसकी,his
तोड़,the break
मजाक,Joke
पालन,Compliance
यहीं,right here
खाता,Account
क्षेत्र,Area
भर,Filled
मामले,cases
खबर,News
ज़रूरत,need
सड़क,road
हत्या,the killing
समाप्त,End
प्रकार,Type
ली,Took
संदेश,Message
क्लिक,Click
माफ़,sorry
शब्द,Word
खिलाफ,Against
खून,Blood
जॉन,John
लाने,to bring
शक्ति,Power
जाए,go
फ्यूरर,furor
भोजन,Meal
आवाज,Sound
हिस्सा,Part
कमीने,Bastard
वही,Same
भेजा,Sent
होंगे,will be
देगा,will give
जानती,knows
गधे,donkey
रंग,Colour
मृत,dead
शांति,Calmness
आश्चर्य,Wonder
बेवकूफ,Idiot
शरीर,Body
इच्छा,Desire
टीम,Team
बताना,Narrate
बचा,save
होते,would have been
कहो,Say
आना,come
लाइन,Queue
मरने,to die
व्यापार,Business
कितनी,How many
सं,no
दुश्मन,Enemy
तेजी,fast
स्वीकार,Accept
जिस,That
जीवित,alive
बाकी,Balance
पार,across
दस,Ten
कमरे,rooms
संभाल,take care
खोज,Search
आसपास,nearby
कार्यालय,Office
बढ़िया,Excellent
मिशन,Mission
बर्ट,bert
खेद,Regret
लेकर,taking
डौग,Doug
चोरी,Theft
चेहरे,faces
एंडी,andy
हम्म,Hmm
चुके,finished
जानेमन,sweetheart
राष्ट्रपति,President
हथियार,Weapon
सरकार,Government
पूर्व,East
जंगल,Forest
बचाने,save
लेना,Take
मानव,human
बेकार,Useless
ग्रह,Planet
करके,by doing
सोचते,thinking
लाया,brought
गये,gone
नेता,Leader
हा,Ha
जांच,Test
साथी,partner
बैठ,sit down
साहब,Sir
प्रार्थना,Prayer
यीशु,Jesus
अनुमति,Permission
मजबूत,Strong
लड़कियों,girls
भेज,send
पूछना,Ask
विकल्प,Option
सीधे,directly
खोजने,find
सवारी,Ride
नंबर,Number
मैडम,Madam
विशेष,Specific
दूसरी,second
ख्याल,Care
उत्तर,Answer
दिमाग,Brain
मुक्त,Free
उनका,their
उनमें,In those
कॉलेज,College
कप्तान,captain
हाउस,House
निशान,Mark
आवश्यकता,Need
पेड़,Tree
सारी,all
निकल,Out
ऐसी,Such
श्रीमान,Sir
हालांकि,Although
जिंदा,Alive
पैर,Feet
युवा,Youth
तय,fixed
राज्य,State
जादू,Magic
जानकारी,Information
नई,New
शॉ,shaw
इसमें,In this
सुनिश्चित,ensure
बुरी,bad
पीठ,Back
समुद्र,Sea
पड़ा,lay down
व्हाइट,white
गर्म,warm
कोड,code
कठिन,Difficult
मुसीबत,Trouble
लायक,Worthy
सोने,gold
छह,Six
रेडियो,radio
समझते,understand
करोगे,will do
दरवाजे,doors
सेकंड,seconds
भविष्य,Future
जला,burn
सामान्य,General
कोडी,cody
खाली,Empty
निर्णय,Decision
दूसरों,others
गति,motion
नियंत्रण,Control
गंभीर,Serious
आँखें,eyes
चाल,move
परमाणु,atom
बिस्तर,Bed
अधिकार,rights
गायब,Missing
कपड़े,Clothes
लक्ष्य,Target
तेज,Quick
प्रेज़ीडेंट,President
दौरान,during
चलिए,Let go
जाती,caste
तरीका,Method
चेहरा,face
उड़ान,flight
जबकि,Whereas
जिम,gym
ड्राइव,Drive
तुरंत,Immediately
लानत,damn
निर्माण,Construction
दूसरा,Second
ग्रन्ट्स,grunts
संभव,possible
कुतिया,Bitch
सक्षम,Able
कॉफी,coffee
विंसेंट,vincent
सावधान,Attention
पहुँच,access
सांस,Breath
प्रवेश,Entry
सपना,Dream
बिजली,Electricity
पेले,Pele
इंजन,engine
तरीके,methods
लड़कों,boys
दुकान,Shop
संपर्क,Contact
सेवा,Service
पूछा,Asked
चुकी,finished
बुला,Call
मारो,Beat
अलावा,apart from
करूँगा,will do
फेंक,throw
ड्रैगन,Dragon
नमस्कार,Hello
उठो,get up
पक्ष,Party
बीमार,Sick
धीरे,Slow
भारी,Heavy
पकड़ो,hold on
मिले,meet
प्रभु,Lord
लगाने,to put
ओक्जा,Okja
खा,Eat
सहमत,Agree
रिपोर्ट,Report
मृत्यु,death
चाय,Tea
बैठक,meeting
सात,Seven
खराब,Bad
आत्मा,Soul
नुकसान,Loss
खर्च,Expenditure
पड़ता,falls
लाख,Lakh
समझा,understood
निकाल,take out
बिलकुल,Absolutely
प्लीज़,please
बारी,turn
भूमि,land
लेते,take
खींच,pull
दूँगा,will give
जमीन,land
कार्य,Work
सामना,face
बजे,time
आई,I
प्रकाश,Light
लें,take
सूअर,Pig
चाची,Aunt
लेफ्टिनेंट,Lieutenant
देखेंगे,will see
चीजें,things
छोड़ने,leaving
पीछा,chase
बढ़,increase
भाग्यशाली,lucky
गर्व,Proud
ताकि,So that
टूट,break
शानदार,Fabulous
उच्च,High
भाग्य,Luck
टायर,Tire
पहला,First
ओम,Om
डी,D
तेरे,Your
सौदा,deal
काट,cutting
कराह,groan
खूबसूरत,Beautiful
बनाना,Make
गड़बड़,Mess
फैसला,Decision
ज़रूर,Sure
प्रतीक्षा,Wait
थोड़ी,a little
वर्ष,Year
नही,No
दिखाने,to show
परिवर्तन,Change
समुद्री,marine
आनंद,Pleasure
रोकने,to stop
सूट,Suit
शिकार,Hunt
मारे,killed
साइमन,Simon
मील,miles
जानना,Know
वक्त,time
सैम,Sam
धोखा,Danger
चिंतित,Concerned
जन्मदिन,birthday
टीवी,TV
कल्पना,Imagination
पा,Pa
बधाई,Congrats
होटल,hotel
पुरानी,Old
इसी,This 
हिम्मत,Courage
राहुल,A male name
हेलो,Hi
लाल,Red
समर्थन,Support
जिसे,whom
कार्ड,card
डैनी,danny
चलें,let's go
बेच,sell
डॉलर,Dollar
जाएंगे,will go
जाएँ,go to
माफ़,sorry
ए,A
गले,throat
बदलने,to change
प्यारी,cutie
भयानक,Horrible
अचानक,Suddenly
कानून,Law
उसी,the same
खतरनाक,Dangerous
बच,escape
स्थान,place
भागो,Run
रक्त,blood
उड़ा,blow up
साबित,proved
दक्षिण,South
उम्र,Age
रहें,stay
सोचता,thinking
सुनने,listen to
बैठो,have a sit
तलाश,seek
शाम,Evening
मास्टर,master
धत्,goddamn
बुलाया,called
मानना,Accept
व्यस्त,Busy
ज़्यादा,more
दूंगा,Give
अप,Up
फ़ोन,phone
ऐलिस,Alice
खड़ा,Stand
सोचो,think about
करूंगा,will do
डॉ,Dr
रानी,Queen
एलिजाबेथ,elizabeth
रो,Cry
आये,came
करोड़,Ten million
दूरी,distance
लेता,takes
हार,Garland
बज,Buzz
एरिक,Eric
कीजिए,do it
छत,Roof
सके,could
माता,Mother
मिली,Millie
देखकर,after seeing
देखभाल,Care
अध्यक्ष,chairman
पहचान,Identification
पूछो,Ask
तूफान,storm
बैग,Bag
किए,did
तौर,manner
एन,n
दीवार,Wall
इलाज,Treatment
समझे,understand
मुख्य,main
शराब,Liquor
सेट,set
कराहना,to groan
सज्जनों,gentlemen
फर्क,difference
राजनीति,Politics
कमांडर,the commander
प्रणाली,System
दिखाई,appeared
बम,Bomb
जाकर,by going
हाल,Condition
स्टेशन,station
लाओ,bring
घुरघुराना,grunt
भारत,India
पश्चिम,West
